index,Mileage,price,ModelYear,brakes,airbag,camera,controls,speakers,video,bluetooth,alarm,navigations,digital,keyless,heated,leather,armrest,total,Drivetrain,Fuel Type,Transmission,Make,Model
0,89843.0,28800.0,1994.0,2,2,0,1,0,0,0,1,0,0,0,2,1,0,145,3,3,0,50,421
4,102685.0,5999.0,2012.0,5,7,0,10,2,4,0,1,0,1,1,0,0,3,447,2,3,0,31,314
5,13793.0,176500.0,2017.0,5,9,1,11,3,6,0,2,0,1,1,7,4,3,453,3,3,0,3,152
6,41050.0,34695.0,2013.0,4,6,0,11,1,6,0,0,0,1,1,6,4,0,375,3,3,0,6,287
7,2592.0,429800.0,2015.0,4,2,1,11,0,1,0,0,0,0,1,1,3,0,405,3,3,0,12,32
8,30887.0,24995.0,2015.0,2,3,0,7,1,3,0,1,1,2,0,0,0,0,365,0,1,0,15,184
9,17646.0,37891.0,2005.0,2,1,0,0,1,0,0,0,0,0,0,0,2,1,304,1,3,1,36,261
10,14438.0,35499.0,2015.0,4,7,0,9,2,8,0,0,0,1,1,6,4,0,380,3,3,0,6,50
11,38581.0,9999.0,2016.0,4,6,0,7,1,4,0,1,0,1,1,0,0,1,343,2,3,0,37,80
12,75354.0,9200.0,2013.0,2,0,0,5,0,2,0,0,0,0,1,1,1,0,178,1,3,0,33,98
13,100500.0,6550.0,1996.0,1,1,0,2,0,0,0,0,0,0,0,1,2,0,68,0,3,0,15,96
14,27195.0,50977.0,2016.0,3,8,1,6,0,6,0,0,1,1,2,2,2,1,276,3,3,0,27,233
15,21994.0,68000.0,2015.0,5,8,0,8,2,4,0,1,0,1,1,4,6,1,455,3,3,0,40,68
16,40705.0,23985.0,2007.0,2,2,2,6,2,3,0,1,1,0,0,4,3,1,355,0,3,0,23,228
17,8777.0,42695.0,2017.0,5,9,1,11,4,9,0,2,1,1,1,7,4,3,552,3,3,1,9,416
18,195264.0,14500.0,2012.0,3,4,1,8,0,1,0,1,1,1,1,1,1,0,395,0,3,0,15,184
19,117688.0,25499.0,2010.0,3,8,0,10,0,1,0,0,0,0,2,5,3,0,212,3,3,0,40,328
20,37117.0,29791.0,2014.0,5,7,0,12,2,8,0,2,1,1,1,9,6,2,538,1,3,1,4,381
21,35183.0,23795.0,2013.0,5,9,0,13,3,10,0,2,0,1,1,7,4,1,491,0,3,0,26,358
22,11039.0,58710.0,2017.0,5,7,1,12,2,6,0,2,0,1,1,7,5,3,528,1,3,0,30,266
23,36640.0,27477.0,2015.0,5,7,0,8,2,2,0,0,0,1,0,0,0,3,466,0,3,0,17,401
